chunk_id,document_id,document_title,chunk_type,heading_bucket,score
12931,1500,工程尺度堆石混凝土抗压性能试验研究,text,2 试验方法 > Page 4,222
17318,1606,堆石混凝土结构施工冷缝抗剪性能的研究,text,ABSTRACT > 5.4 剪切应力方程的适用范围,222
22863,1339,合江县洪流水库软岩堆石混凝土大尺寸试验研究 (1),text,__stage31_parent__:5:6 结论及建议 > Page 7,222
23987,1529,浅谈堆石混凝土施工中的质量控制,text,__stage31_parent__:0:Page 1,222
26030,1606,堆石混凝土结构施工冷缝抗剪性能的研究,text,__stage31_parent__:32:ABSTRACT > Page 67,222
28918,1805,基于正交各向异性本构的堆石混凝土胶结面强度研究,text,ABSTRACT > Page 37,222
10189,1285,Study on the Influence of Specimen Size and Aggregate Size on the Compressive Strength of Rock-Filled Concrete,text,"1200 mm and 3000 mm specimen size models. For RFC of type 2, there were individual > Page 12",221
13567,1551,自密实堆石混凝土在恒山水库除险加固工程中的应用,text,关键词:,221
39592,2039,堆石混凝土(rock-filled concreteRFC ) 技术是在自密实混凝土(self-compacting concrete,text,2 试验结果及分析 > 2.2 抗渗性能试验,221
14966,1585,堆石混凝土劈拉性能尺寸效应研究,text,ABSTRACT > Page 37,220
15469,1589,堆石混凝土大坝施工缝层间强度研究,text,1 绪论 > Page 15,220
16241,1596,堆石混凝土抗压强度的尺寸效应研究,text,ABSTRACT > Page 8,220
16363,1597,堆石混凝土抗拉性能及劈裂抗拉破坏机理,text,ABSTRACT > Page 27,220
17369,1607,堆石混凝土绝热温升试验与温升机制研究,text,ABSTRACT > 2.1 试验原材料 > 2.1.1 堆石,220
18756,1675,Other Rock-Filled Concrete Related Technologies,text,Abstract > 9.1 Riprap Rock-Filled Concrete and Vibrated Rock-Filled Concrete > 9.1.1 Backfill of Caissons in the Xiangjiaba Hydropower Station Project,220
24527,1579,基于贵州地区的堆石混凝土尺寸效应及标准值研究,text,__stage31_parent__:5:ABSTRACT,220
25262,1592,堆石混凝土层间界面剪切力学性能研究,text,__stage31_parent__:18:Abstract > Page 27,220
22342,1285,Study on the Influence of Specimen Size and Aggregate Size on the Compressive Strength of Rock-Filled Concrete,text,__stage31_parent__:10:2 Materials and Methods > 2.1 Physical Experiment Scheme,219
22643,1309,自密实堆石混凝土力学性能的试验研究,text,__stage31_parent__:1:Page 1,219
24118,1545,自密实堆石混凝土力学性能的试验研究,text,__stage31_parent__:1:Page 1,219
25584,1597,堆石混凝土抗拉性能及劈裂抗拉破坏机理,text,__stage31_parent__:50:参考文献,219
15476,1589,堆石混凝土大坝施工缝层间强度研究,text,2 RFC 试样制备及试验方案 > Page 23 > 2.4.2 直接剪切试验加载方案,218
22823,1333,单轴受压状态下堆石混凝土的破坏形态和力学性能分析,text,__stage31_parent__:1:0 引言,218
23813,1500,工程尺度堆石混凝土抗压性能试验研究,text,__stage31_parent__:3:1 研究背景,218
24750,1583,堆石混凝土中自密实混凝土充填性能的离散元模拟研究,text,__stage31_parent__:9:Abstract > Page 14,218
25059,1588,堆石混凝土填充性能及界面破坏特性研究,text,__stage31_parent__:73:Abstract > Page 157,218
25064,1588,堆石混凝土填充性能及界面破坏特性研究,text,__stage31_parent__:78:Abstract > Page 170,218
25106,1589,堆石混凝土大坝施工缝层间强度研究,text,__stage31_parent__:8:1 绪论 > Page 11,218
25377,1594,堆石混凝土强度性能及冻融耐久性的研究,text,__stage31_parent__:11:ABSTRACT > 1.3 研究现状 > 1.3.1 RFC强度性能研究现状,218
25928,1604,堆石混凝土立方体抗压性能尺寸效应研究,text,__stage31_parent__:16:ABSTRACT > Page 17,218
26232,1610,堆石混凝土缺陷对尺寸效应的影响研究,text,__stage31_parent__:40:RX LR > Page 71,218
26728,1675,Other Rock-Filled Concrete Related Technologies,text,__stage31_parent__:5:Abstract > 9.1 Riprap Rock-Filled Concrete and Vibrated Rock-Filled Concrete > 9.1.1 Backfill of Caissons in the Xiangjiaba Hydropower Stat,218
32644,1867,石坝河水库坝体绝热温升及施工期温度监测分析,text,2 工程概况,218
35100,1805,基于正交各向异性本构的堆石混凝土胶结面强度研究,text,__stage31_parent__:39:1 sin > 4.6 不同岩石角度的 RFC 单轴压缩数值模拟 > 4.6.1 强度各向异性胶结面的 RFC 数值模型,218
36454,1854,某实际工程堆石混凝土的力学性能及抗渗研究,text,__stage31_parent__:19:ABSTRACT > 3.1 A 工程 > 3.1.1 A 实际工程的 RFC 试验仓,218
36957,1867,石坝河水库坝体绝热温升及施工期温度监测分析,text,__stage31_parent__:0:Page 1,218
