chunk_id,document_id,source_image_path,status,caption,caption_page_num,error
52821,16,data/images/16/page7_render1.png,captioned,Figure 6. SCC elastic modulus curve.,7,
52822,16,data/images/16/page9_render1.png,captioned,Figure 8. Validation from other related studies [8].,9,
33814,17,data/images/17/page2_img1.png,no_caption,,0,
33815,17,data/images/17/page3_img1.png,no_caption,,0,
33816,17,data/images/17/page4_img1.png,no_caption,,0,
33817,17,data/images/17/page4_img2.png,no_caption,,0,
33831,18,data/images/18/page10_img1.png,no_caption,,0,
33832,18,data/images/18/page10_img2.png,no_caption,,0,
33833,18,data/images/18/page10_img3.png,captioned,Figure 8. Vibration pattern of the first five modes of the RFC dam.,10,
33834,18,data/images/18/page10_img4.png,captioned,Figure 8. Vibration pattern of the first five modes of the RFC dam.,10,
33835,18,data/images/18/page10_img5.png,no_caption,,0,
33836,18,data/images/18/page11_img1.png,no_caption,,0,
33837,18,data/images/18/page11_img2.png,captioned,Figure 9. Horizontal displacement of the gravity dam body profile with different materials under OBE conditions (unit: cm): (a) CVC dam; (b) RFC dam. Maximum values are marked in red.,11,
33838,18,data/images/18/page11_img3.png,no_caption,,0,
33839,18,data/images/18/page11_img4.png,captioned,Figure 9. Horizontal displacement of the gravity dam body profile with different materials under OBE conditions (unit: cm): (a) CVC dam; (b) RFC dam. Maximum values are marked in red.,11,
33840,18,data/images/18/page13_img1.png,captioned,Figure 14. Performance/damage acceptance for gravity dam.,13,
33841,18,data/images/18/page13_img2.png,no_caption,,0,
33842,18,data/images/18/page13_img3.png,no_caption,,0,
33843,18,data/images/18/page14_img1.png,no_caption,,0,
33844,18,data/images/18/page14_img2.png,captioned,Figure 15. DCR value distribution of the gravity dam under MCE conditions: (a) CVC dam; (b) RFC dam. Contour lines with values of 1.0 and 2.0 are marked in red.,14,
33845,18,data/images/18/page14_img3.png,captioned,Figure 15. DCR value distribution of the gravity dam under MCE conditions: (a) CVC dam; (b) RFC dam. Contour lines with values of 1.0 and 2.0 are marked in red.,14,
33846,18,data/images/18/page14_img4.png,captioned,Figure 16. Maximum principal stress time-history curve of the gravity dam body section under MCE conditions: (a) CVC dam; (b) RFC dam. The maximum value is marked with a star.,14,
33847,18,data/images/18/page14_img5.png,captioned,Figure 16. Maximum principal stress time-history curve of the gravity dam body section under MCE conditions: (a) CVC dam; (b) RFC dam. The maximum value is marked with a star.,14,
33848,18,data/images/18/page14_img6.png,no_caption,,0,
33849,18,data/images/18/page14_img7.png,no_caption,,0,
33850,18,data/images/18/page15_img1.png,no_caption,,0,
33851,18,data/images/18/page15_img2.png,no_caption,,0,
33852,18,data/images/18/page15_img3.png,captioned,Figure 17. Performance curve of the gravity dam model under MCE conditions: (a) CVC dam; (b) RFC dam. The CID under the specific DCR is marked with a square.,15,
33853,18,data/images/18/page15_img4.png,captioned,Figure 17. Performance curve of the gravity dam model under MCE conditions: (a) CVC dam; (b) RFC dam. The CID under the specific DCR is marked with a square.,15,
33854,18,data/images/18/page16_img1.png,captioned,Figure 18. Damage distribution under massless foundation model under MCE conditions: (a) CVC dam; (b) RFC dam.,16,
33855,18,data/images/18/page16_img2.png,captioned,Figure 18. Damage distribution under massless foundation model under MCE conditions: (a) CVC dam; (b) RFC dam.,16,
33856,18,data/images/18/page17_img1.png,captioned,Figure 19. Schematic diagram of anti-sliding stability calculation plane of the gravity dam. Red lines indicate candidate sliding profiles.,17,
33857,18,data/images/18/page17_img2.png,captioned,Figure 20. Time-history diagram of the safety factor of the foundation surface of the gravity dam under MCE conditions: (a) CVC dam; (b) RFC dam.,17,
33858,18,data/images/18/page17_img3.png,captioned,Figure 20. Time-history diagram of the safety factor of the foundation surface of the gravity dam under MCE conditions: (a) CVC dam; (b) RFC dam.,17,
33818,18,data/images/18/page1_img1.png,no_caption,,0,
33819,18,data/images/18/page3_img1.png,captioned,Figure 1. The geometry of the dam profile.,3,
33820,18,data/images/18/page3_img2.png,no_caption,,0,
33821,18,data/images/18/page3_img3.png,captioned,Figure 1. The geometry of the dam profile.,3,
33822,18,data/images/18/page3_img4.png,no_caption,,0,
33823,18,data/images/18/page4_img1.png,captioned,Figure 3. The gravity dam RFC dam scheme material zoning map.,4,
33824,18,data/images/18/page6_img1.png,captioned,Figure 4. The standard design response spectrum comparison diagram.,6,
33825,18,data/images/18/page6_img2.png,captioned,Figure 5. Seismic time records used in the analysis: (a) OBE; (b) SEE.,6,
33826,18,data/images/18/page6_img3.png,captioned,Figure 5. Seismic time records used in the analysis: (a) OBE; (b) SEE.,6,
33827,18,data/images/18/page6_img4.png,captioned,Figure 4. The standard design response spectrum comparison diagram.,6,
33828,18,data/images/18/page6_img5.png,captioned,Figure 5. Seismic time records used in the analysis: (a) OBE; (b) SEE.,6,
33829,18,data/images/18/page6_img6.png,captioned,Figure 5. Seismic time records used in the analysis: (a) OBE; (b) SEE.,6,
33830,18,data/images/18/page7_img1.png,captioned,Figure 6. Schematic diagram of lifting pressure distribution on the foundation surface of a grav- ity dam.,7,
